"","Embryo","RNAiSimple","StageSimple","TimeMin","NumParticleFrameNormAreaPAratio"
"79","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",38,0.787741571176735
"80","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",39,0.775966052844712
"81","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",0,0.0777460748458656
"82","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",0.5,0.0570137882203015
"83","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",1,0.0450108854370801
"84","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",1.5,0.0388730374229328
"85","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",2,0.0285068941101507
"86","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",2.5,0.0259153582819552
"87","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",3,0.027587316880791
"88","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",3.5,0.065785140254194
"89","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",4,0.0570137882203015
"90","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",4.5,0.0534504264565326
"91","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",5,0.0570137882203015
"92","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",5.5,0.0534504264565326
"93","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",6,0.0777460748458656
"94","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",6.5,0.0417174060148547
"95","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",7,0.0475114901835845
"96","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",7.5,0.106900852913065
"97","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",8,0.17693934275266
"98","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",8.5,0.205249637593085
"99","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",9,0.228055152881206
"100","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",9.5,0.292570755341021
"101","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",10,0.310984299383462
"102","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",10.5,0.334646148249595
"103","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",11,0.270815494046432
"104","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",11.5,0.268049899841716
"105","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",12,0.228055152881206
"106","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",12.5,0.26944872515074
"107","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",13,0.316309373003042
"108","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",13.5,0.355410627866814
"109","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",14,0.344304045745976
"110","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",14.5,0.421902032830231
"111","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",15,0.498870646927638
"112","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",15.5,0.472614297089341
"113","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",16,0.461361575730071
"114","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",16.5,0.450108854370801
"115","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",17,0.566285599215156
"116","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",17.5,0.589399297142306
"117","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",18,0.578167993219958
"118","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",18.5,0.581540639847075
"119","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",19,0.58110207224538
"120","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",19.5,0.613994642372477
"121","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",20,0.624958832414843
"122","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",20.5,0.697668724274741
"123","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",21,0.73642809784556
"124","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",21.5,0.729776489219859
"125","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",22,0.738055203673765
"126","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",22.5,0.675163281556201
"127","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",23,0.607646953400581
"128","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",23.5,0.64433390796916
"129","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",24,0.706970973931738
"130","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",24.5,0.652095202769698
"131","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",25,0.697668724274741
"132","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",25.5,0.728081484705201
"133","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",26,0.773200689562992
"134","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",26.5,0.748305970391457
"135","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",27,0.830053681442624
"136","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",27.5,0.818023917943456
"137","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",28,0.83111649025369
"138","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",28.5,0.765185052430362
"139","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",29,0.867084695850418
"140","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",29.5,0.843491661341446
"141","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",30,0.820536276413798
"142","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",30.5,0.820998550372341
"143","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",31,0.891858544303287
"144","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",31.5,0.809595792728281
"145","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",32,0.797422578486649
"146","03Jul22_kk1216_cdc42RNAi_44h_CH1_centration_05","cdc42","late maint.",32.5,0.832701380585982
